country,region,iso3,avg_score,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption,total_rank_change,total_score_change
Estonia,Europe,EST,5.74766668701172,1.2526264467239365,1.5122236998875933,0.7687227721214294,0.5090438101291657,0.09596360373497011,0.17274964074293767,-17,0.37600000000000033
North Cyprus,Western Europe,CYP,5.7330000000000005,1.259735,0.9441700000000001,0.88249,0.46311500000000005,0.262455,0.15429,-4,0.0760000000000014
Paraguay,Latin America and Caribbean,PRY,5.708,0.82679,1.20794,0.6219649999999999,0.5006700000000001,0.29768,0.07819000000000001,17,-0.33999999999999986
Jamaica,Americas,JAM,5.696999956766763,0.8585264364878338,1.4464060214360568,0.7216741280555726,0.5131024130185446,0.145606112440427,0.03808926033973693,-17,0.3799999999999999
Peru,Americas,PER,5.691666717529296,0.9764084240595499,1.2472567949295033,0.7193887044588723,0.47833429296811436,0.10060657163461033,0.03601636218031247,1,-0.04600000000000115
Libya,Middle East and Northern Africa,LBY,5.6845,1.0991650000000002,1.0346899999999999,0.6134200000000001,0.41170000000000007,0.17691,0.10681000000000002,4,-0.13900000000000023
Moldova,Europe,MDA,5.66899994023641,0.690290210088094,1.2936085236867265,0.6494884003003436,0.23924301628271735,0.186926375468572,0.0033637620508670664,16,-0.36799999999999944
Paraguay,Americas,PRY,5.639000010172527,0.8741791057586671,1.50142829322815,0.6570835644404094,0.509502597252528,0.19005021921793633,0.08168863781293234,-7,0.20500000000000007
Croatia,Central and Eastern Europe,HRV,5.6235,1.134515,0.7021649999999999,0.746645,0.24895,0.11939,0.03216,12,-0.2709999999999999
Cyprus,Western Europe,CYP,5.6175,1.26335,0.800075,0.88618,0.35089500000000007,0.29272000000000004,0.05687,2,-0.1429999999999998
Jamaica,Latin America and Caribbean,JAM,5.609500000000001,0.851855,1.05737,0.6410499999999999,0.47019500000000003,0.217375,0.032965,8,-0.19900000000000073
Kosovo,Europe,XKX,5.606199961090088,0.8782828764305114,1.014490700645446,0.609754410041809,0.3177475881004334,0.28379028950119023,0.03987032361125946,-23,0.5109999999999992
Turkmenistan,Central and Eastern Europe,TKM,5.603,1.01932,1.132425,0.48946,0.42509,0.19773000000000002,0.296555,-5,0.10999999999999943
Turkmenistan,Asia,TKM,5.568333342234293,1.0662589209874467,1.5213830537796034,0.5372420268058777,0.40975730967521673,0.23097499585151668,0.108090113401413,22,-0.4109999999999996
Hungary,Europe,HUN,5.5673332939147935,1.2193373114268,1.38471103064219,0.7492544841766356,0.211287839770317,0.07346722080310186,0.0262123124698798,-29,0.6130000000000004
Mauritius,Sub-Saharan Africa,MUS,5.5625,1.0756649999999999,0.87108,0.6856949999999999,0.511055,0.373475,0.06362000000000001,-5,0.17099999999999937
Libya,Africa,LBY,5.53866669845581,1.04360102144877,1.3368547767003367,0.5820563398996991,0.4592444100379943,0.13369122215112067,0.1308700700600942,5,-0.08999999999999986
Philippines,Asia,PHL,5.528333276112873,0.8132330718040468,1.28630585829417,0.5460030182202656,0.5954048914909363,0.143504474401474,0.1037772976756096,-13,0.3519999999999994
Honduras,Americas,HND,5.515000077565509,0.664191039244334,1.1949816595713298,0.677523159980774,0.4380266200701397,0.22639629121621432,0.07511515084902448,-45,0.988999999999999
Estonia,Central and Eastern Europe,EST,5.473,1.21569,1.13977,0.727295,0.431995,0.08551500000000001,0.16851500000000003,-1,0.08799999999999919
"Hong Kong S.A.R., China",Asia,HKG,5.472000122070311,1.5516748428344695,1.26279091835022,0.943062424659729,0.490968644618988,0.37446579337120106,0.293933749198914,0,0
Hong Kong,Eastern Asia,HKG,5.466,1.4483700000000002,0.9641950000000001,0.983025,0.538435,0.39787500000000003,0.343855,3,-0.016000000000000014
