year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change
2015,Panama,Latin America and Caribbean,25,6.7860000000000005,1.0635299999999999,1.1985000000000001,0.7966099999999999,0.5421,0.24434000000000003,0.0927,NA,NA
2016,Panama,Latin America and Caribbean,25,6.7010000000000005,1.18306,0.98912,0.7083499999999999,0.48927000000000004,0.24180000000000001,0.08423000000000001,0,-0.08499999999999996
2017,Panama,Americas,30,6.452000141143801,1.2337484359741198,1.3731925487518302,0.7061561346054079,0.5500268340110781,0.21055693924427002,0.07098392397165303,5,-0.2489998588561999
2018,Panama,Americas,27,6.430000000000001,1.112,1.438,0.759,0.597,0.125,0.063,-3,-0.0220001411438
2019,Panama,Americas,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,4,-0.10900000000000087
2015,Paraguay,Latin America and Caribbean,53,5.878,0.75985,1.30477,0.6609799999999999,0.5389900000000001,0.3424,0.08242000000000001,NA,NA
2016,Paraguay,Latin America and Caribbean,70,5.538,0.89373,1.11111,0.58295,0.46235000000000004,0.25296,0.07396000000000001,17,-0.33999999999999986
2017,Paraguay,Americas,70,5.49300003051758,0.932537317276001,1.5072848796844498,0.579250693321228,0.47350779175758406,0.22415065765380895,0.091065913438797,0,-0.044999969482420354
2018,Paraguay,Americas,64,5.681,0.8350000000000001,1.522,0.615,0.541,0.162,0.07400000000000001,-6,0.18799996948242015
2019,Paraguay,Americas,63,5.743,0.8550000000000001,1.4749999999999999,0.777,0.514,0.184,0.08,-1,0.06200000000000028
2015,Peru,Latin America and Caribbean,58,5.823999999999999,0.90019,0.97459,0.73017,0.41496000000000005,0.14982,0.059890000000000006,NA,NA
2016,Peru,Latin America and Caribbean,64,5.743,0.99602,0.81255,0.62994000000000006,0.37502,0.14527,0.05292,6,-0.08099999999999863
2017,Peru,Americas,63,5.71500015258789,1.0352252721786497,1.21877038478851,0.6301661133766169,0.4500028789043431,0.12681971490383098,0.0470490865409374,-1,-0.02799984741211059
2018,Peru,Americas,65,5.662999999999999,0.934,1.2489999999999999,0.6739999999999999,0.53,0.092,0.034,2,-0.05200015258789037
2019,Peru,Americas,65,5.696999999999999,0.96,1.274,0.8540000000000001,0.455,0.083,0.027,0,0.03399999999999981
2015,Philippines,Southeastern Asia,90,5.073,0.70532,1.0351599999999999,0.58114,0.62545,0.24991000000000005,0.12279000000000002,NA,NA
2016,Philippines,Southeastern Asia,82,5.279000000000001,0.8121700000000001,0.8787700000000002,0.47036000000000006,0.54854,0.21674000000000004,0.11757000000000001,-8,0.2060000000000004
2017,Philippines,Asia,72,5.42999982833862,0.8576992154121402,1.2539175748825102,0.46800905466079695,0.585214674472809,0.19351342320442202,0.09933189302682878,-10,0.15099982833861958
2018,Philippines,Asia,71,5.523999999999999,0.775,1.312,0.513,0.643,0.12000000000000001,0.10500000000000001,-1,0.09400017166137875
2019,Philippines,Asia,69,5.631,0.807,1.293,0.657,0.558,0.117,0.10700000000000001,-2,0.1070000000000011
2015,Poland,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.16759000000000002,0.042120000000000005,NA,NA
2016,Poland,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.6905799999999999,0.4519,0.14443000000000003,0.055,-3,0.043999999999999595
2017,Poland,Europe,46,5.973000049591061,1.2917878627777102,1.4457119703292798,0.6994753479957578,0.520342111587524,0.15846596658229808,0.059307806193828604,-11,0.13800004959106094
2018,Poland,Europe,42,6.122999999999999,1.1760000000000002,1.448,0.7809999999999999,0.546,0.10800000000000001,0.064,-4,0.14999995040893843
2019,Poland,Europe,40,6.1819999999999995,1.206,1.438,0.884,0.48300000000000004,0.117,0.05,-2,0.05900000000000016
2015,Portugal,Western Europe,88,5.101999999999999,1.15991,1.13935,0.8751900000000001,0.5146900000000001,0.13719,0.01078,NA,NA
2016,Portugal,Western Europe,94,5.122999999999999,1.27607,0.9436700000000001,0.79363,0.44727,0.11691,0.01521,6,0.020999999999999908
2017,Portugal,Europe,89,5.19500017166138,1.3151752948761,1.36704301834106,0.7958435416221619,0.49846529960632296,0.09510271251201631,0.015869451686739897,-5,0.07200017166138029
2018,Portugal,Europe,77,5.41,1.1880000000000002,1.4289999999999998,0.884,0.562,0.055,0.017,-12,0.21499982833862052
2019,Portugal,Europe,66,5.693,1.2209999999999999,1.4309999999999998,0.999,0.508,0.047,0.025,-11,0.2829999999999995
2016,Puerto Rico,Latin America and Caribbean,15,7.039000000000001,1.35943,1.08113,0.7775799999999999,0.46823,0.22202,0.12275000000000001,NA,NA
2015,Qatar,Middle East and Northern Africa,28,6.611,1.69042,1.0786,0.7973299999999999,0.6404,0.32572999999999996,0.52208,NA,NA
2016,Qatar,Middle East and Northern Africa,36,6.375,1.82427,0.8796400000000002,0.7172299999999999,0.5667900000000001,0.32388000000000006,0.48049000000000003,8,-0.23599999999999977
2017,Qatar,Asia,35,6.375,1.8707656860351598,1.27429687976837,0.7100980877876278,0.6041309833526608,0.330473870038986,0.439299255609512,-1,0
2018,Qatar,Asia,32,6.374,1.649,1.303,0.748,0.654,0.256,0.171,-3,-0.001000000000000334
2019,Qatar,Asia,29,6.374,1.6840000000000002,1.313,0.8710000000000001,0.555,0.22,0.167,-3,0
2015,Romania,Central and Eastern Europe,86,5.123999999999999,1.04345,0.88588,0.7689,0.35068,0.13748000000000002,0.00649,NA,NA
2016,Romania,Central and Eastern Europe,71,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679,-15,0.4040000000000008
2017,Romania,Europe,57,5.8249998092651385,1.21768391132355,1.1500912904739398,0.685158312320709,0.45700374245643594,0.133519917726517,0.00438790069893003,-14,0.2969998092651389
2018,Romania,Europe,52,5.945,1.116,1.2189999999999999,0.726,0.528,0.088,0.001,-5,0.12000019073486179
2019,Romania,Europe,48,6.07,1.1620000000000001,1.232,0.8250000000000001,0.462,0.083,0.005,-4,0.125
2015,Russia,Central and Eastern Europe,64,5.716,1.13764,1.23617,0.6692599999999999,0.36678999999999995,0.00199,0.03005,NA,NA
