year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change,iso3,gdp_change,social_support_change,health_change,freedom_change,generosity_change,corruption_change
2017,Algeria,Africa,53,5.872000217437739,1.0918644666671797,1.1462174654007005,0.6175846457481379,0.23333580791950198,0.06943664699792859,0.14609611034393302,15,-0.4829997825622607,DZA,0.039204466667179805,0.31312746540070036,-4.5535425186216116e-4,0.023275807919501956,-0.001003353002071411,-0.01547388965606697
2018,Algeria,Africa,84,5.295,0.979,1.1540000000000001,0.6869999999999999,0.07700000000000001,0.055,0.135,31,-0.5770002174377389,DZA,-0.11286446666717975,0.007782534599299673,0.06941535425186207,-0.15633580791950197,-0.014436646997928591,-0.011096110343933013
2019,Algeria,Africa,88,5.211,1.002,1.1600000000000001,0.7849999999999999,0.08600000000000001,0.07300000000000001,0.114,4,-0.08399999999999963,DZA,0.02300000000000002,0.006000000000000005,0.09799999999999998,0.008999999999999994,0.01800000000000001,-0.021000000000000005
2015,Angola,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344000000000001,0.07122000000000002,NA,NA,AGO,NA,NA,NA,NA,NA,NA
2016,Angola,Sub-Saharan Africa,141,3.8659999999999997,0.84731,0.6636599999999999,0.04991,0.00589,0.12071000000000001,0.08434,4,-0.1670000000000007,AGO,0.08953,-0.19674000000000014,-0.11692,-0.09795,-0.0027299999999999963,0.013119999999999979
2017,Angola,Africa,140,3.79500007629395,0.8584281802177429,1.10441195964813,0.04986866563558581,0,0.09792649000883101,0.06972033530473708,-1,-0.07099992370604946,AGO,0.011118180217742912,0.4407519596481302,-4.1334364414190305e-5,-0.00589,-0.022783509991169,-0.014619664695262921
2018,Angola,Africa,142,3.795,0.73,1.125,0.269,0,0.079,0.061,2,-7.629395026853558e-8,AGO,-0.12842818021774294,0.020588040351869896,0.2191313343644142,0,-0.01892649000883101,-0.008720335304737079
2015,Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.7872299999999999,0.44974,0.11451,0.08484,NA,NA,ARG,NA,NA,NA,NA,NA,NA
2016,Argentina,Latin America and Caribbean,26,6.6499999999999995,1.15137,1.06612,0.6971099999999999,0.42284000000000005,0.10989,0.07296000000000001,-4,0.07599999999999962,ARG,0.09786000000000006,-0.18211,-0.09011999999999998,-0.026899999999999924,-0.004619999999999999,-0.011879999999999988
2017,Argentina,Americas,24,6.59899997711182,1.18529546260834,1.4404511451721198,0.6951370835304259,0.494519203901291,0.10945706069469496,0.05973988771438602,-2,-0.05100002288817951,ARG,0.03392546260834006,0.37433114517211985,-0.001972916469573982,0.07167920390129096,-4.3293930530503844e-4,-0.01322011228561399
2018,Argentina,Americas,29,6.388,1.073,1.468,0.744,0.5700000000000001,0.062,0.054000000000000006,5,-0.21099997711182006,ARG,-0.11229546260834011,0.027548854827880165,0.04886291646957408,0.07548079609870906,-0.047457060694694964,-0.005739887714386015
2019,Argentina,Americas,47,6.086,1.092,1.432,0.881,0.47100000000000003,0.066,0.05,18,-0.3019999999999996,ARG,0.019000000000000128,-0.03600000000000003,0.137,-0.09900000000000003,0.0040000000000000036,-0.0040000000000000036
2015,Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855000000000001,0.039,NA,NA,ARM,NA,NA,NA,NA,NA,NA
2016,Armenia,Central and Eastern Europe,121,4.359999999999999,0.8608600000000001,0.62477,0.64083,0.14037,0.07793000000000001,0.03616,-6,0.009999999999999787,ARM,0.09265000000000012,-0.15233999999999992,-0.08906999999999998,-0.05810000000000001,-6.199999999999956e-4,-0.0028400000000000022
2017,Armenia,Asia,121,4.375999927520749,0.9005967378616329,1.0074837207794198,0.637524425983429,0.198303267359734,0.08348809182643889,0.026674421504139904,0,0.015999927520749857,ARM,0.03973673786163279,0.3827137207794198,-0.0033055740165710557,0.057933267359734,0.005558091826438877,-0.009485578495860094
2018,Armenia,Asia,129,4.321,0.8160000000000001,0.99,0.6659999999999999,0.26,0.07700000000000001,0.028,8,-0.05499992752074956,ARM,-0.0845967378616328,-0.017483720779419842,0.02847557401657097,0.06169673264026601,-0.006488091826438877,0.001325578495860097
2019,Armenia,Asia,116,4.559,0.8500000000000001,1.055,0.8150000000000001,0.28300000000000003,0.095,0.064,-13,0.23800000000000043,ARM,0.03400000000000003,0.06499999999999995,0.14900000000000013,0.02300000000000002,0.017999999999999988,0.036000000000000004
